,Name1,Name2
0,Abilene Christian Wildcats,Abilene Christian
1,Akron Zips,Akron
2,Alabama Crimson Tide,Alabama
3,Alabama State Hornets,Alabama State
4,Alabama-Birmingham Blazers,Alabama-Birmingham
5,Albany (NY) Great Danes,Albany (NY)
6,American Eagles,American
7,Arizona State Sun Devils,Arizona
8,Arizona Wildcats,Arizona State
9,Arkansas Razorbacks,Arkansas
10,Auburn Tigers,Auburn
11,Austin Peay Governors,Austin Peay
12,BYU Cougars,Baylor
13,Baylor Bears,Belmont
14,Belmont Bruins,Boise State
15,Boise State Broncos,Boston University
16,Boston University Terriers,Bradley
17,Bradley Braves,Brigham Young
18,Bucknell Bison,Bucknell
19,Buffalo Bulls,Buffalo
20,Butler Bulldogs,Butler
21,Cal Poly Mustangs,Cal Poly
22,Cal State Bakersfield Roadrunners,Cal State Bakersfield
23,Cal State Fullerton Titans,Cal State Fullerton
24,California Golden Bears,Central Florida
25,Chattanooga Mocs,Chattanooga
26,Cincinnati Bearcats,Cincinnati
27,Clemson Tigers,Clemson
28,Coastal Carolina Chanticleers,Coastal Carolina
29,Colgate Raiders,Colgate
30,College of Charleston Cougars,College of Charleston
31,Colorado Buffaloes,Colorado
32,Colorado State Rams,Colorado State
33,Creighton Bluejays,Connecticut
34,Davidson Wildcats,Creighton
35,Dayton Flyers,Davidson
36,Delaware Fightin' Blue Hens,Dayton
37,Detroit Titans,Delaware
38,Duke Blue Devils,Detroit Mercy
39,ETSU Buccaneers,Duke
40,Eastern Kentucky Colonels,East Tennessee State
41,Eastern Washington Eagles,Eastern Kentucky
42,Fairleigh Dickinson Knights,Eastern Washington
43,Florida Gators,Fairleigh Dickinson
44,Florida Gulf Coast Eagles,Florida
45,Florida State Seminoles,Florida Gulf Coast
46,Fresno State Bulldogs,Florida State
47,Gardner-Webb Runnin' Bulldogs,Fresno State
48,George Mason Patriots,Gardner-Webb
49,George Washington Colonials,George Mason
50,Georgetown Hoyas,George Washington
51,Georgia Bulldogs,Georgetown
52,Georgia State Panthers,Georgia
53,Gonzaga Bulldogs,Georgia State
54,Green Bay Phoenix,Gonzaga
55,Hampton Pirates,Green Bay
56,Harvard Crimson,Hampton
57,Hawaii Rainbow Warriors,Harvard
58,Holy Cross Crusaders,Hawaii
59,Houston Cougars,Holy Cross
60,Illinois Fighting Illini,Houston
61,Indiana Hoosiers,Illinois
62,Indiana State Sycamores,Indiana
63,Iona Gaels,Indiana State
64,Iowa Hawkeyes,Iona
65,Iowa State Cyclones,Iowa
66,Jacksonville State Gamecocks,Iowa State
67,James Madison Dukes,Jacksonville State
68,Kansas Jayhawks,James Madison
69,Kansas State Wildcats,Kansas
70,Kent State Golden Flashes,Kansas State
71,Kentucky Wildcats,Kent State
72,LIU-Brooklyn Blackbirds,Kentucky
73,LSU Fighting Tigers,La Salle
74,La Salle Explorers,Lafayette
75,Lafayette Leopards,Lamar
76,Lamar Cardinals,Lehigh
77,Lehigh Mountain Hawks,Liberty
78,Liberty Flames,Lipscomb
79,Lipscomb Bisons,Little Rock
80,Little Rock Trojans,Long Beach State
81,Long Beach State 49ers,Long Island University
82,Louisiana Ragin' Cajuns,Louisiana
83,Louisville Cardinals,Louisiana State
84,Loyola (IL) Ramblers,Louisville
85,Loyola (MD) Greyhounds,Loyola (IL)
86,Manhattan Jaspers,Loyola (MD)
87,Marquette Golden Eagles,Manhattan
88,Marshall Thundering Herd,Marquette
89,Maryland Terrapins,Marshall
90,Memphis Tigers,Maryland
91,Mercer Bears,Maryland-Baltimore County
92,Miami (FL) Hurricanes,Massachusetts
93,Michigan State Spartans,Memphis
94,Michigan Wolverines,Mercer
95,Middle Tennessee Blue Raiders,Miami (FL)
96,Milwaukee Panthers,Michigan
97,Minnesota Golden Gophers,Michigan State
98,Mississippi State Bulldogs,Middle Tennessee
99,Mississippi Valley State Delta Devils,Milwaukee
100,Missouri Tigers,Minnesota
101,Montana Grizzlies,Mississippi
102,Morehead State Eagles,Mississippi State
103,Mount St. Mary's Mountaineers,Mississippi Valley State
104,Murray State Racers,Missouri
105,NC State Wolfpack,Montana
106,Nebraska Cornhuskers,Morehead State
107,Nevada Wolf Pack,Mount St. Mary's
108,New Mexico Lobos,Murray State
109,New Mexico State Aggies,Nebraska
110,New Orleans Privateers,Nevada
111,Norfolk State Spartans,Nevada-Las Vegas
112,North Carolina A&T Aggies,New Mexico
113,North Carolina Central Eagles,New Mexico State
114,North Dakota Fighting Hawks,New Orleans
115,North Dakota State Bison,Norfolk State
116,North Florida Ospreys,North Carolina
117,Northeastern Huskies,North Carolina A&T
118,Northern Colorado Bears,North Carolina Central
119,Northern Iowa Panthers,North Carolina State
120,Northern Kentucky Norse,North Carolina-Asheville
121,Northwestern State Demons,North Carolina-Greensboro
122,Northwestern Wildcats,North Carolina-Wilmington
123,Notre Dame Fighting Irish,North Dakota
124,Oakland Golden Grizzlies,North Dakota State
125,Ohio Bobcats,North Florida
126,Ohio State Buckeyes,Northeastern
127,Oklahoma Sooners,Northern Colorado
128,Oklahoma State Cowboys,Northern Iowa
129,Old Dominion Monarchs,Northern Kentucky
130,Ole Miss Rebels,Northwestern
131,Oregon Ducks,Northwestern State
132,Oregon State Beavers,Notre Dame
133,Pacific Tigers,Oakland
134,Penn Quakers,Ohio
135,Penn State Nittany Lions,Ohio State
136,Pitt Panthers,Oklahoma
137,Prairie View Panthers,Oklahoma State
138,Princeton Tigers,Old Dominion
139,Providence Friars,Oregon
140,Purdue Boilermakers,Oregon State
141,Radford Highlanders,Pacific
142,Rhode Island Rams,Penn State
143,Richmond Spiders,Pennsylvania
144,Robert Morris Colonials,Pittsburgh
145,SMU Mustangs,Prairie View
146,Saint Louis Billikens,Princeton
147,Saint Mary's Gaels,Providence
148,San Diego State Aztecs,Purdue
149,Seton Hall Pirates,Radford
150,South Carolina Gamecocks,Rhode Island
151,South Dakota State Jackrabbits,Richmond
152,South Florida Bulls,Robert Morris
153,Southern Jaguars,Saint Joseph's
154,Southern Miss Golden Eagles,Saint Louis
155,St. Bonaventure Bonnies,Saint Mary's (CA)
156,St. John's (NY) Red Storm,Saint Peter's
157,St. Joseph's Hawks,San Diego State
158,St. Peter's Peacocks,Seton Hall
159,Stanford Cardinal,South Carolina
160,Stephen F. Austin Lumberjacks,South Dakota State
161,Stony Brook Seawolves,South Florida
162,Syracuse Orange,Southern
163,TCU Horned Frogs,Southern California
164,Temple Owls,Southern Methodist
165,Tennessee Volunteers,Southern Mississippi
166,Texas A&M Aggies,St. Bonaventure
167,Texas Longhorns,St. John's (NY)
168,Texas Southern Tigers,Stanford
169,Texas Tech Red Raiders,Stephen F. Austin
170,Troy Trojans,Stony Brook
171,Tulsa Golden Hurricane,Syracuse
172,UC-Davis Aggies,Temple
173,UC-Irvine Anteaters,Tennessee
174,UCF Knights,Texas
175,UCLA Bruins,Texas A&M
176,UCSB Gauchos,Texas Christian
177,UConn Huskies,Texas Southern
178,UMBC Retrievers,Texas Tech
179,UMass Minutemen,Texas-San Antonio
180,UNC Asheville Bulldogs,Troy
181,UNC Greensboro Spartans,Tulsa
182,UNC Tar Heels,UC-Davis
183,UNC Wilmington Seahawks,UC-Irvine
184,UNLV Rebels,UC-Santa Barbara
185,USC Trojans,UCLA
186,UTSA Roadrunners,University of California
187,Utah State Aggies,Utah
188,Utah Utes,Utah State
189,VCU Rams,Valparaiso
190,Valparaiso Crusaders,Vanderbilt
191,Vanderbilt Commodores,Vermont
192,Vermont Catamounts,Villanova
193,Villanova Wildcats,Virginia
194,Virginia Cavaliers,Virginia Commonwealth
195,Virginia Tech Hokies,Virginia Tech
196,Wake Forest Demon Deacons,Wake Forest
197,Washington Huskies,Washington
198,Weber State Wildcats,Weber State
199,West Virginia Mountaineers,West Virginia
200,Western Kentucky Hilltoppers,Western Kentucky
201,Western Michigan Broncos,Western Michigan
202,Wichita State Shockers,Wichita State
203,Winthrop Eagles,Winthrop
204,Wisconsin Badgers,Wisconsin
205,Wofford Terriers,Wofford
206,Wright State Raiders,Wright State
207,Wyoming Cowboys,Wyoming
208,Xavier Musketeers,Xavier
209,Yale Bulldogs,Yale
